word,definition,theme,target_code,link,reason
누울 자리 봐 가며 발을 뻗어라,어떤 일을 할 때 그 결과가 어떻게 되리라는 것을 생각하여 미리 살피고 일을 시작하라는 말. &lt;동의 속담&gt; ‘발(을) 뻗을 자리를 보고 누우랬다’ ‘이부자리 보고 발을 펴라’,wisdom,608884,https://opendict.korean.go.kr/dictionary/view?sense_no=608884,때와 장소를 가리는 신중함이라서
셈 센 아버지가 참는다,"사물을 분별하는 슬기가 더 많은 아버지가 어리석은 자식의 말에 참는다는 뜻으로, 사리를 모르고 떠드는 사람에게 점잖은 이가 도리어 참는다는 말.",wisdom,612144,https://opendict.korean.go.kr/dictionary/view?sense_no=612144,어리석음에 점잖게 참는 분별의 지혜라서
무식은 암흑이요 지식은 광명이다,"무식한 사람의 앞날은 캄캄한 암흑과 같으나 지식을 갖춘 사람의 앞날은 광명한 세상이 된다는 뜻으로, 배움의 중요성을 강조하여 이르는 말.",wisdom,610110,https://opendict.korean.go.kr/dictionary/view?sense_no=610110,배움이 앞날을 밝힌다는 선언이라서
말은 바른대로 하고 큰 고기는 내 앞에 놓아라,거짓말을 하거나 남을 속이려 하지 말고 솔직하게 털어놓으라고 이르는 말.,wisdom,609759,https://opendict.korean.go.kr/dictionary/view?sense_no=609759,솔직함을 촉구하는 말의 원칙이라서
살은 쏘고 주워도 말은 하고 못 줍는다,"화살은 쏘아도 찾을 수 있으나 말은 다시 수습할 수 없다는 뜻으로, 말을 삼가야 한다는 말. &lt;동의 속담&gt; ‘쌀은 쏟고 주워도 말은 하고 못 줍는다’",wisdom,603931,https://opendict.korean.go.kr/dictionary/view?sense_no=603931,말을 삼가라는 언어 신중론의 정석이라서
가루는 칠수록 고와지고 말은 할수록 거칠어진다,가루는 체에 칠수록 고와지지만 말은 길어질수록 시비가 붙을 수 있고 마침내는 말다툼까지 가게 되니 말을 삼가라는 말.,wisdom,607034,https://opendict.korean.go.kr/dictionary/view?sense_no=607034,말이 길어지면 시비가 붙는다는 관찰이라서
거짓말은 도둑놈 될 장본,거짓말하는 버릇이 도둑질의 시초라는 말.,wisdom,607533,https://opendict.korean.go.kr/dictionary/view?sense_no=607533,거짓말이 큰 잘못의 시초라는 도덕 판단이라서
말이 많으면 실언이 많다,"하지 않아도 될 말을 이것저것 많이 늘어놓으면 그만큼 쓸 말은 적어진다는 뜻으로, 말을 삼가라는 말. &lt;동의 속담&gt; ‘군말이 많으면 쓸 말이 적다’ ‘말이 많으면 쓸 말이 적다’",wisdom,609775,https://opendict.korean.go.kr/dictionary/view?sense_no=609775,말 아끼기의 실용 지혜라서
못난이 열 명의 꾀가 잘난이 한 명의 꾀보다 낫다,한 사람의 지혜보다 여러 사람의 지혜가 더 현명함을 이르는 말.,wisdom,603031,https://opendict.korean.go.kr/dictionary/view?sense_no=603031,모은 지혜가 현명하다는 집단 지성이라서
관 속에 들어가도 막말은 말라,어떤 경우에라도 말을 함부로 해서는 안 된다는 말.,wisdom,601192,https://opendict.korean.go.kr/dictionary/view?sense_no=601192,끝까지 막말을 삼가라는 언어 절제라서
구관이 명관이다,무슨 일이든 경험이 많거나 익숙한 이가 더 잘하는 법임을 비유적으로 이르는 말.,wisdom,601220,https://opendict.korean.go.kr/dictionary/view?sense_no=601220,익숙함의 가치를 알아보는 경험칙이라서
사람 위에 사람 없고 사람 밑에 사람 없다,사람은 본래 태어날 때부터 권리나 의무가 평등함을 이르는 말.,wisdom,611610,https://opendict.korean.go.kr/dictionary/view?sense_no=611610,평등의 선언이라는 사회 통찰이라서
서당 개 삼 년에 풍월(을) 한다[읊는다/짓는다],"서당에서 삼 년 동안 살면서 매일 글 읽는 소리를 듣다 보면 개조차도 글 읽는 소리를 내게 된다는 뜻으로, 어떤 분야에 대하여 지식과 경험이 전혀 없는 사람이라도 그 부문에 오래 있으면 얼마간의 지식과 경험을 갖게 된다는 것을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘당구 삼 년에 폐풍월(吠風月)’ ‘독서당 개가 맹자 왈 한다’",wisdom,604127,https://opendict.korean.go.kr/dictionary/view?sense_no=604127,오래 있으면 저절로 배운다는 환경·시간의 힘이라서
기운이 세면 장수 노릇 하나,"아무리 기운이 세다 할지라도 장수 노릇은 할 수 없다는 뜻으로, 힘만 가지고는 결코 큰일을 못하며 반드시 훌륭한 품성과 지략을 갖추어야 됨을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘소가 크면[세면] 왕 노릇 하나’ ‘기운이 세면 소가 왕 노릇 할까’ ‘힘 많은 소가 왕 노릇 하나’ ‘힘센 소가 왕 노릇 할까’",wisdom,608060,https://opendict.korean.go.kr/dictionary/view?sense_no=608060,힘보다 품성·지략이 필요하다는 판단이라서
